"title","body","rating","review_date","source","curated","reviewer_name","reviewer_email","product_id","product_handle","reply","reply_date","picture_urls","ip_address","location","metaobject_handle"
"Smells great","Really liked it smells great","5","2020-08-23 00:00:00 UTC","direct","ok","Valerie B.","support+anonymous@judge.me","141856079893","challenger-tea-tree-shampoo-16oz-premium-daily-or-every-other-day-shampoo","","","","","","review-fd6fe6a9-e3ab-4c1b-b2fd-6cd2b07261ad"
"Works wonderfully","This product is the only pomade I found that is unscented. I cannot use scented products. It does a good job on keeping my hair in line. As I've gotten older it has gotten very fine and lost a lot of its natural body. With this product, I can get my hair to look good again.","5","2023-11-22 00:00:00 UTC","direct","ok","harri","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-ec312fee-45f0-4245-8e9b-ee4f628104a2"
"Smells pretty good","It's smells pretty good, works fairly well; however, I wouldn't really say it's a challenger for some of the other more well known brands of Tea Tree shampoos. The consistency is not on par with most other shampoos, and I wouldn't say I have that """"tingly"""" feeling in my hair after I wash my hair...which ideally, was something I was going for. Guess I'll just look to go back to Paul Mitchell's Tea Tree once I get through most of this bottle since this wasn't up to my personal expectations, but other reviewers seem to disagree, so your welcome to take a chance!","4","2019-07-15 00:00:00 UTC","direct","ok","Nate","support+anonymous@judge.me","141856079893","challenger-tea-tree-shampoo-16oz-premium-daily-or-every-other-day-shampoo","","","","","","review-0b1836d2-c923-41f7-b801-99a98c3afadc"
"Not for sensative skin.","Not for sensative skin","3","2023-02-07 00:00:00 UTC","direct","ok","T J","support+anonymous@judge.me","141856079893","challenger-tea-tree-shampoo-16oz-premium-daily-or-every-other-day-shampoo","","","","","","review-0263d532-1b7c-48e3-aa27-641b29593ac8"
"Love it","Love it. Feels fresh, easy to spread and no allergies.","5","2010-07-23 00:00:00 UTC","direct","ok","Nanaki","support+anonymous@judge.me","141856079893","challenger-tea-tree-shampoo-16oz-premium-daily-or-every-other-day-shampoo","","","","","","review-ef6ef6a6-87a8-4d66-8f70-9a20b2aa793f"
"Clean Indeed.","It gives my thin hair body and keeps it in place for a clean look. No odor. Feels and looks clean.","5","2023-09-03 00:00:00 UTC","direct","ok","Edwin Watkins","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-5a969d82-4af2-47a5-aa71-1c0c15f5a09e"
"Best Stuff Ever","I never write reviews, but this stuff is great. I think its a little odd that it is specifically listed as ""men's"" as though only a man would want to create texture with firm hold for their hairstyle.

The things I love most about this product are 1) it is completely unscented. I wish more products were unscented because scent sensitivity and allergies are rampant and the world is smelly enough without adding yet another scented product to it. 2) It really adds fantastic texture and has a great firm hold. I have fine hair that is always looking for an excuse to go limp and be flat...this stuff gives me great volume and holds all day with no issues, even in super high heat and humidity. I think the biggest learning curve for me was taking a little, pea sized scoop out and making sure to rub it into my fingertips until there was no more white showing, it was just clear, then apply it to the roots and then the chunks here and there I want to hold and texture. It washes off hands fast and easy with just water and a little soap and it washes out of hair super easy also. I don't use conditioner in my hair and i do not find this product overly drying at all.

I was afraid to order this because I've gone through so many products that just don't work and it's such a waste, but this stuff is awesome. I've ordered it twice now and I'm writing this review because I want this company to stay in business and keep making this fabulous unscented hair goop! If you are someone who has to use unscented products out of necessity- then you probably know how limited the choices are when it comes to hair products and the ones you do find are usually a massive compromise- this one isn't! It's really great quality stuff that works perfectly! No compromise! (Maybe this company will start making unscented hairspray that doesn't suck too!!! 🤞).","5","2023-04-19 00:00:00 UTC","direct","ok","Mildy Human","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-d570764d-323e-4403-b110-8af2d725fd44"
"Worked to halt my hair loss!!","""Works for me! I bought this because I started losing A LOT of hair for unknown reasons (not stressed, didn't change my diet, didn't try new hair products, and I don't use blow dryers or straighteners. I was at a loss as to how to stop my hair from falling completely. (and I am only 36 years old; and do not have hair loss in my family genetics)
I did some research about natural remedies and tea tree oil came up. So I found this shampoo and then another brand conditioner (Shiny Leaf) also with tea tree oil.
The price seems fair for the volume and amount of tea tree oil in the ingredients.
It works! - - My hair immediately slowed down it's excessive loss and I just get the normal amount that comes out when washing it.""","5","2020-05-19 00:00:00 UTC","direct","ok","GoingOutside!","support+anonymous@judge.me","141856079893","challenger-tea-tree-shampoo-16oz-premium-daily-or-every-other-day-shampoo","","","","","","review-7568dd66-e69c-4738-bcad-bef02d77c15f"
"Fragrance free","I have used several different hair products and this one works as well or better than all the others, plus it’s fragrance free and that makes my wife very happy! “Happy wife, happy life “!","5","2023-09-10 00:00:00 UTC","direct","ok","Amazon Customer","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-affc0fd1-4482-477b-a542-eb93337ba7a3"
"Works great","I needed a styling paste or pomade without a scent because my wife’s smell is super sensitive. This has no smell and it works well to give my fine hair volume with switcher a wet or dry look.","5","2023-02-15 00:00:00 UTC","direct","ok","ANM","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-7a52194a-cc5b-44c1-83c1-ff8d22b521de"
"Best one I've used","I've been using this for at least a year and have no plans to stop. Best I've used over a period of about 15 years of hair products. Great hold and no mess.","5","2023-06-07 00:00:00 UTC","direct","ok","B'rett","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-2936b298-daed-44d7-9111-7dfe91bcf6c5"
"Excellent hold","Use very little holds great. No perfume smells. Doesn't seem to attract bugs.stays in even if hair gets wet.","5","2023-09-15 00:00:00 UTC","direct","ok","dean s","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-ecea4e1a-05eb-41fc-aec9-a030d9ae4bb1"
"Unscented","I love this product. No scent whatsoever. It really works well on my fine hair.","5","2023-05-03 00:00:00 UTC","direct","ok","Jule Robinson","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-bff6fbd0-2855-4f54-83f1-b11c35f876b3"
"Great product! Unscented and hypoallergenic.","I have contact allergic dermatitis. I was looking for a product to style my short hair that is fragrance free. This is it! It lasts me about 6 weeks. Works very well. No flaking or itching scalp. Highly recommend!","5","2022-11-11 00:00:00 UTC","direct","ok","Electro Enthusiast","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-e2e8966e-b0cf-4cdb-845b-a6965810e195"
"Does exactly what it says - good product","I have developed sensitivity to scent and tried a number of hair product. Finding one without scent has been a bit of a challenge unless you go way up in price. I found that I can use less of this than the other products I tried and still get the results I want. And consider this is 3.5 ounces - the others I tried were around 2 ounces and when you cost it out, this is actually more economical. It does what it says very well, there's no scent, it's made in the USA and the price is right. Great product!","5","2023-02-16 00:00:00 UTC","direct","ok","sw_mn_chuck","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-0e5e2bab-123c-4d22-bcfe-6e744c2906ae"
"Doesnt run off toward face and doesnt break me out","Great product, doesnt break me out, and it does its job; bit pricey, worth it!","5","2022-10-13 00:00:00 UTC","direct","ok","Luis","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-d04108ad-b8bc-4f2f-85c0-251dfa875c6a"
"Works Good","For me, the most important thing is that it is fragrance free. However, it does have a barely perceptible scent when first applied. But it goes away by the time that you put it on your hair. Mine came as a paste. I scoop a very small amount out of the container with my finger, put it on one hand, wet the other hand, rub the dollop between both hands and rub it into my hair. It has great hold and even adds body to my hair.","5","2023-09-23 00:00:00 UTC","direct","ok","PWJ","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-a3a5cf31-e9e6-4038-b992-ea3605b66ad5"
"FINALLY A Truly Unscented Hair Pomade","Texture & hold are great, too! Great product!","5","2023-09-16 00:00:00 UTC","direct","ok","Justin B.","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-939b1cf4-635c-4abd-adba-ffc5a49f86b7"
"Finally my head doesn't smell like some dude named Chaz or a Pez dispenser","Love that this is unscented, works, and doesn't make my hair look nasty at the end of the day. Well done!","5","2023-07-05 00:00:00 UTC","direct","ok","Kathryn Millhorn","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-e7220753-3ded-4551-bd2e-0fa98bcb509a"
"It truly is unscented!","My wife lost her sense of smell and taste due to covid several months ago, but a few months ago she has since started to get them back. Unfortunately, they’ve come back a bit wonky. Almost all hair products cause her to smell “wet dog”. So, after being called a wet dog for the 137th time, I went through 3 other popular brand name hair products to no avail until finally trying Challenger’s Clean. I got the thumbs up from the wife, and immediately ordered another one for my gym bag. It has a pretty good hold as claimed, I just have to adapt to how much to use. It doesn’t rinse out quite as easily as the other products (as I don’t like to over wash my hair), but I’ll make it work because I can actually be in close proximity of my wife again without being told I smell like a wet dog.","5","2022-07-12 00:00:00 UTC","direct","ok","Michael","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-6e29eda9-64f3-4ba0-b3e6-9a658a3d7a15"
"Unseated, great hold, washes out clean.","Really like this product. Great hold that lasts all day with natural hair shine. Washes out clean, restyle-able through out the day. Not flakey. Etc. Just a really good hair product.","5","2023-01-13 00:00:00 UTC","direct","ok","Orion Kirkpatrick","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-1ad51444-9eba-4d3b-afb4-c9600b1277fc"
"Not just for men","LOVE the hold of this pomade! I have severe fragrance allergies and searched to find a hair gel that would hold my spiked hair and not cause a reaction to the smell.
I’m on my third container of Challenger and will continue to use this product.
A little goes a long way so it’s very economical too.","5","2022-10-10 00:00:00 UTC","direct","ok","Karen Allen","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-9c2dbefb-fee0-45ea-8064-0d0105522b9c"
"I LOVE THIS!! NOT JUST FOR MEN!","I LOVE this eye cream!

My eyes are pretty dry. My eyelids get dry and my under eyes get really dry. Whenever I apply concealer, it will always look horrible unless I make sure my under eyes are moisturized well enough. I’ve been using Glossier Priming Moisturizer Rich cream, but it’s $32 for a jar. A little of it goes a long way so it lasts me a while, but I still wanted to find a cheaper alternative. I found this, which I think I might like even more than the glossier!

It is a thicker cream, but not thick where it feels heavy or takes a long time to rub in. It glides onto the skin easily. It absorbs quickly, leaving behind a dewy, moisturized look to the eyes. My concealer goes over it well. I’ve really been enjoying this! So much so I decided to give the face moisturizer a try!

If you’re like me and have dry under eyes and are looking for something to moisturize them, TRY THIS! I don’t think you’ll be disappointed!","5","2021-04-03 00:00:00 UTC","direct","ok","Lover of All Things Beauty - VINE VOICE","support+anonymous@judge.me","4399656927305","challenger-primo-mens-eye-cream-anti-aging-eye-balm-reduce-wrinkles-under-eye-circles-puffiness-crows-feet-and-signs-of-age-unscented-1-ounce-airless-pump-with-natural-ingredients","","","","","","review-465fa60f-6f8d-41a5-8483-e1c23167777b"
"Wonderful product","No odor at all, works fantastic for my sensitive kids. My husband used it once when he was out of his regular product and immediately switched. We love it! Great hold and no scent.","5","2023-01-16 00:00:00 UTC","direct","ok","Amazon Customer","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-30a47d48-ff71-449c-af51-a8c46873814e"
"Amazing for Pomade Acne","This pomade has reduced my hairline acne to almost nothing. I did an experiment with 4 regular pomades that I have over a 2 month period. Using each one for 2 weeks. All of them caused an uptick in overall breakouts. As soon as I used Clean Challenger the breakouts disappeared. I highly recommend this if you’re suffering from pomade acne. The only downside is that the hold is not great, but if once you get use to it you’ll find ways to make it work.","5","2022-05-15 00:00:00 UTC","direct","ok","Michael McKenna","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-7f85549b-3692-4e4d-bd88-8106e88f3a33"
"Really helped with forehead acne and scalp irritation","My sons forehead acne cleared up switching to this. He also has sensitive scalp/dandruff problems and he has less using this product as well. It has no scent which doesn’t matter to me. I wish it had a little stronger hold, and it is quite think and you really need to work it in your fingers before applying or you will see the white from the product. Worth the benefits, will continue to buy.","4","2022-03-03 00:00:00 UTC","direct","ok","Amazon Customer","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-30efd40e-fcce-4a4f-8f87-c330873f726b"
"True to its name","Clean is scent free and provides a great hold. It's also water soluble and comes out easily in the shower. I switched from Axe and have much less head acne since switching.","5","2022-06-03 00:00:00 UTC","direct","ok","J","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-fdf6b623-2450-4e97-b92a-6adcb04d6cf8"
"Great Product","I have created very few reviews while buying Amazon products. however, I thought I would leave a review, because I was very pleased with this product. I have used many summer products without such a wonderful result. however, I thought I would leave a review because I was very pleased with this product. I have used many summer products without such a wonderful result. It’s hard to explain, but we know when a hair product does not work well and doesn’t look like it did what we were looking for it to do. This one performed very well and I’m very happy with how easy it is to use and how clean it is. Not Goopie or but we know when a hair product does not work well and doesn’t look like it did what we were looking for it to do. This one performed very well and I’m very happy with how easy it is to use and how clean it is. Not goopy or pasty. It styled my hair easily, and naturally lookinI. easily, and naturally looking","5","2023-05-27 00:00:00 UTC","direct","ok","Law Man","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-5b37ef34-375d-42dc-add8-9a0a30042690"
"Not just for men!","I have bought this pomade a few times now. My primary concern is getting a product that works without toxic chemicals. This one fills the bill for my pixie haircut!","5","2022-09-14 00:00:00 UTC","direct","ok","Lisa Brown Sarver","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-358359d5-d73c-431a-8c32-578bd7d2bd3d"
"Hard to use","It was like putting glue in my hair. I would actually end up pulling my hair out trying to use it. Threw it away.","1","2023-12-01 00:00:00 UTC","direct","ok","Amazon Customer","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-e22e8850-39f0-42ed-a486-18a6e4c7f461"
"Fragrance free","Fragrance gives me headaches so my husband uses this instead of a scented product. Works great and I’m very happy not to get a headache.","5","2022-04-26 00:00:00 UTC","direct","ok","C and E M","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-f76f2636-764c-42bc-90ac-12e3dc4bd6ce"
"Smells great, works great!","Texture, smell and moldability are great. Easy to wash out. Does just what it says it will do. What more can you ask for?","5","2021-05-14 00:00:00 UTC","direct","ok","Staci Davis","support+anonymous@judge.me","6372446470","challenger-blue-matte-styling-cream-3oz","","","","","","review-12d1bb4f-9e10-4dc8-a5f1-2aa78ab2b11a"
"Great non-comedogenic product","I bought this product given it's ""clean"" nature. That being said, I actually think it works great as a hair paste. Non-shiny and pretty strong hold. It's relatively dry which I think further helps protecting one's skin. Recommended it to my brother and he is a fan as well. Would definitely recommend.","5","2022-07-19 00:00:00 UTC","direct","ok","Lucas B.","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-dc813d4a-3045-4d52-abba-66dee85f2991"
"Works well. No scent. Not greasy","Holds well all day but somehow seems to (pleasantly) disappear by the evening. Best one yet.","5","2022-04-17 00:00:00 UTC","direct","ok","eb","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-2debad0c-1e2c-4b2c-9f06-52bb489a0d0f"
"Very happy with the results","I have very thin and somewhat thinning hair that I wear short. I switched to pomades, clays, and creams several years ago. The products worked okay, but they all caused my scalp to break out, no matter how small of an amount I would use. I finally broke down and purchased an expensive brand from a salon, but the result was even worse. So, I searched the interwebs for hypoallergenic pomade and found Challenger Clean. I gave it a shot, and after about three weeks I am proud to report that the results are outstanding. My acne has cleared up and has not returned. This product works great with my hair. I don't have to use much so that just increases the value. I comb it in slightly damp hair and style. Once it dries and sets I run my comb back through my hair and the style stays and my hair is left looking natural as if I never used any product at all. Three out of five stars, wouldn't change a thing!","5","2022-02-21 00:00:00 UTC","direct","ok","Amazon Customer","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-d2cd28ed-b0c7-49a2-958b-757abd00e888"
"Best Product I have tried","It is extremely difficult to find a truly scent free product that does not leave a sticky residue or leave your hair looking like it was plastered in place. Clean Creme Pomade is a hit in every category. This product truly is fragrance free. It is easy to apply, does not need a lot of product for my short hair and keeps it in place all day while still looking natural. I highly recommend this product.","5","2022-05-13 00:00:00 UTC","direct","ok","Amazon Customer","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-cafdb599-ab1b-46c1-bc75-3accf09038f0"
"Great hair product","This pomade holds all day, isn't greasy, no funky smell and it washes out clean in one wash. Add in they've sized it to be under the TSA limit for carry-on, and this is a winner.","5","2023-09-28 00:00:00 UTC","direct","ok","Vincent J. Anido","support+anonymous@judge.me","6372446470","challenger-blue-matte-styling-cream-3oz","","","","","","review-9876dd23-a0d2-4dd0-8f5f-0583fe8d7832"
"Good smell and hold","Onto my third reorder of this product. It’s a bit expensive but lasts a long time. The smell is fresh and clean but not overbearing, and the product has just the right hold without making your hair greasy nor flaky. My son and I both use this and will continue to reorder.","5","2023-05-30 00:00:00 UTC","direct","ok","Chris","support+anonymous@judge.me","6372446470","challenger-blue-matte-styling-cream-3oz","","","","","","review-51a5a693-82c4-4c10-af66-a186eb477935"
"Perfect for hairline","Nice product works well for my needs.","5","2022-06-18 00:00:00 UTC","direct","ok","FW","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-a5e25c52-e70b-48d5-861d-60dba3256ad7"
"Great product","It’s just overall a great product. Little pricey.","5","2020-12-15 00:00:00 UTC","direct","ok","E.","support+anonymous@judge.me","6372446470","challenger-blue-matte-styling-cream-3oz","","","","","","review-06fefb71-904a-4544-a30a-c386345c2a86"
"Smooth, easy to spread, and smell nice.","Way better than the clean version of this brand. Smooth, easy to spread, and smell nice.","5","2021-01-15 00:00:00 UTC","direct","ok","IrishRiptide","support+anonymous@judge.me","6372446470","challenger-blue-matte-styling-cream-3oz","","","","","","review-48b5d1fe-12fd-44fe-b721-4ae50554875a"
"Love fragrance free aspect, but dries down a bit hard.","Bought this for my husband, and he says it's hard to spread it into the hair. For that, he used a little water along with the cream and that seems to help. However, he also doesn't like how it feels after drying. It dries down hard but if you run your fingers through it, it starts breaking apart and messes up the style. So, technically didn't serve the purpose for him. He loves that it's fragrance free though!","3","2021-04-06 00:00:00 UTC","direct","ok","Mint","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-79369158-2369-4e11-bcf5-c61b7116e0a5"
"Not that great","Super weird texture and hard to work with! I like that I’d had no scent tho. I will continue to try it and hope I start liking it!","3","2019-11-16 00:00:00 UTC","direct","ok","Amazon Customer","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-cf403c62-bcd8-4cdd-8f64-bd600959b4fa"
"Cream like texture, light hold, matte","Smooth cream like texture, slight odor of wax, light-med hold, touchable soft hair. Very good product. Kinda similar to the usually cheaper but thicker/somewhat smellier tigi bedhead matte separation, but lighter/creamier texture. One of my favorite products. Prefer over the tigi, various crew, viking, baxter, clay/waxes I have tried so far","5","2021-10-06 00:00:00 UTC","direct","ok","Sensate","support+anonymous@judge.me","6372446470","challenger-blue-matte-styling-cream-3oz","","","","","","review-44590b56-bddd-4801-b229-adeabad5d8cc"
"Great for coarse, thick hair","I’ve looked for so long for a product with light/medium hold that will smooth frizz/not add shine to thick hair. This is my new fav product and will be a staple for everyday, thanks so much.","5","2021-04-08 00:00:00 UTC","direct","ok","AB","support+anonymous@judge.me","6372446470","challenger-blue-matte-styling-cream-3oz","","","","","","review-e05d636d-a338-47c3-9669-87ca1a21c921"
"Flakes","Flakes a bit","4","2023-05-16 00:00:00 UTC","direct","ok","KM - NC","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-0f454167-2c0f-4669-8b01-f905282ab097"
"Just what I was looking for!","Works well!","5","2022-11-02 00:00:00 UTC","direct","ok","Mark Sewell","support+anonymous@judge.me","6372446470","challenger-blue-matte-styling-cream-3oz","","","","","","review-d2a8fe00-696d-4236-b8fc-bd2ada97c168"
"A little dab will do you","I have never used a lot of product in my hair but as I greyed it required a bit of taming. I use this on the spots that needs it. I apply to the trouble spots and comb it out. It has a natural feel and washes out cleanly. This product is better than I expected.","4","2021-09-07 00:00:00 UTC","direct","ok","Moorblues","support+anonymous@judge.me","1467734097993","challenger-clean-hair-pomade-3oz","","","","","","review-f0726a61-205d-4c35-8c3b-f983357a8991"
"Excellent Product","This is so much better than gel. Hairdresser was right!!","5","2022-07-03 00:00:00 UTC","direct","ok","Amazon Customer","support+anonymous@judge.me","6372446470","challenger-blue-matte-styling-cream-3oz","","","","","","review-6789250b-bd91-4ed6-9fcd-64b651783fcf"
